token,entry_timestamp,exit_timestamp,holding_days,pred_return,actual_return,effective_return,entry_dt,exit_dt,ret_decimal,pnl,exit_date
QTUMUSDT,2024-12-20 08:10:00,2024-12-20 08:15:00,1.0,2.8387125,7.766990291262142,7.551564077669903,2024-12-20 08:10:00+00:00,2024-12-20 08:15:00+00:00,0.07551564077669903,75.51564077669903,2024-12-20
IMXUSDT,2024-12-20 13:00:00,2024-12-20 21:25:00,1.0,2.7634428,13.221601489757903,12.995271508379869,2024-12-20 13:00:00+00:00,2024-12-20 21:25:00+00:00,0.1299527150837987,129.9527150837987,2024-12-20
ZILUSDT,2024-12-20 13:00:00,2024-12-20 22:15:00,1.0,3.2543395,13.594692400482511,13.367616610373956,2024-12-20 13:00:00+00:00,2024-12-20 22:15:00+00:00,0.13367616610373956,133.67616610373955,2024-12-20
TRBUSDT,2024-12-20 13:05:00,2024-12-20 21:35:00,1.0,2.9746473,7.947019867549676,7.731233774834423,2024-12-20 13:05:00+00:00,2024-12-20 21:35:00+00:00,0.07731233774834423,77.31233774834423,2024-12-20
MKRUSDT,2024-12-20 13:05:00,2024-12-20 21:50:00,1.0,3.7378955,10.890688259109323,10.669017773279354,2024-12-20 13:05:00+00:00,2024-12-20 21:50:00+00:00,0.10669017773279353,106.69017773279353,2024-12-20
ENSUSDT,2024-12-20 13:05:00,2024-12-20 21:15:00,1.0,3.2471752,7.965332232769297,7.749509533636001,2024-12-20 13:05:00+00:00,2024-12-20 21:15:00+00:00,0.07749509533636001,77.49509533636001,2024-12-20
ETCUSDT,2024-12-20 13:05:00,2024-12-20 21:40:00,1.0,3.7346218,9.1165082717353,8.898384371700075,2024-12-20 13:05:00+00:00,2024-12-20 21:40:00+00:00,0.08898384371700076,88.98384371700075,2024-12-20
BCHUSDT,2024-12-20 13:10:00,2024-12-20 19:00:00,1.0,4.8939147,12.716138328530269,12.490818768011549,2024-12-20 13:10:00+00:00,2024-12-20 19:00:00+00:00,0.12490818768011548,124.90818768011547,2024-12-20
ZECUSDT,2024-12-20 13:10:00,2024-12-20 18:25:00,1.0,3.6267555,6.375284149617699,6.162639956602622,2024-12-20 13:10:00+00:00,2024-12-20 18:25:00+00:00,0.061626399566026224,61.62639956602622,2024-12-20
ARBUSDT,2024-12-20 13:10:00,2024-12-20 21:25:00,1.0,4.0437284,14.112903225806454,13.884791532258056,2024-12-20 13:10:00+00:00,2024-12-20 21:25:00+00:00,0.13884791532258056,138.84791532258055,2024-12-20
ARPAUSDT,2024-12-20 13:10:00,2024-12-20 21:50:00,1.0,4.0175595,7.8637879585747,7.648168246445497,2024-12-20 13:10:00+00:00,2024-12-20 21:50:00+00:00,0.07648168246445497,76.48168246445496,2024-12-20
XLMUSDT,2024-12-20 13:10:00,2024-12-20 21:30:00,1.0,4.5228515,8.202939781887153,7.986642105263164,2024-12-20 13:10:00+00:00,2024-12-20 21:30:00+00:00,0.07986642105263164,79.86642105263164,2024-12-20
OPUSDT,2024-12-20 13:15:00,2024-12-20 21:25:00,1.0,2.9714096,5.851703406813623,5.640105851703403,2024-12-20 13:15:00+00:00,2024-12-20 21:25:00+00:00,0.05640105851703403,56.40105851703403,2024-12-20
